Student ID,Student Full Name,Department Name/Code,Joining Year,Graduation Year,Contact Email,Contact Phone Number,Date of Birth,Student Address,Student City,Academic Score %,Attendance %,Got Job Offer in Campus Placement,Job Offered by Company,Starting Campus Offer Value,Notes
1011,Rania Mand,Computer Science Engineering (CSE),2019,2023,raniamand71@gmail.com,+913254578373,2002-04-04,"35, Bhat, Bijapur-609907",Ajmer,76.9,89.1,No,,,No special remarks
1012,Keya Bahl,Computer Science Engineering (CSE),2016,2020,keyabahl48@gmail.com,+913322032143,2000-06-07,"27/14, Khalsa Path, Ambattur 169326",Bhusawal,94.4,92.8,Yes,TCS,2332706,Got job in campus placement
1013,Nakul Suresh,Computer Science Engineering (CSE),2017,2021,nakulsuresh25@gmail.com,+915256519765,2003-05-17,"03, Chaudhari, Satara 079251",Durg,91.9,88.0,No,,,No special remarks
1014,Badal Bassi,Computer Science Engineering (CSE),2016,2020,badalbassi23@gmail.com,+914907108966,2003-09-01,"45, Badal Marg, Imphal 349922",Aurangabad,84.4,97.4,Yes,TCS,2269351,Got job in campus placement
1015,Zaina Ranganathan,Computer Science Engineering (CSE),2019,2023,zainaranganathan48@gmail.com,4511659836,2001-03-06,"H.No. 609, Deshmukh Circle, Anantapuram 059909",Rewa,82.0,97.6,Yes,Infosys,2378120,Got job in campus placement
1016,Mohanlal Chaudhuri,Computer Science Engineering (CSE),2019,2023,mohanlalchaudhuri65@gmail.com,+918975232471,2001-07-18,"H.No. 775, Mane Ganj, Kamarhati-575211",Jammu,95.0,88.9,No,,,No special remarks
1017,Myra Sankaran,Computer Science Engineering (CSE),2018,2022,myrasankaran15@gmail.com,03696274335,1998-02-14,"H.No. 61, Khatri Street, Tumkur-327129",Tiruvottiyur,89.6,98.9,No,,,No special remarks
1018,Jayesh Bath,Computer Science Engineering (CSE),2017,2021,jayeshbath96@gmail.com,+918315548194,2003-07-20,"657, Shenoy Street, Rewa 431473",Howrah,79.5,90.3,Yes,TCS,2311395,Got job in campus placement
1019,Oorja Garg,Computer Science Engineering (CSE),2019,2023,oorjagarg42@gmail.com,+919101690930,2000-12-16,"72, Chana Street, Karaikudi 141743",Tezpur,81.2,94.9,No,,,No special remarks
1020,Samaira Sem,Computer Science Engineering (CSE),2016,2020,samairasem36@gmail.com,9088831856,2002-07-15,"06, Hans Street, Kurnool 952097",Amaravati,91.9,80.4,Yes,Wipro,2221911,Got job in campus placement
1021,Lavanya Magar,Computer Science Engineering (CSE),2017,2021,lavanyamagar53@gmail.com,02836401775,2000-08-23,"H.No. 45, Rajagopal Ganj, Gwalior 615372",Bangalore,82.9,97.9,No,,,No special remarks
1022,Kismat Sahota,Computer Science Engineering (CSE),2017,2021,kismatsahota53@gmail.com,+919296996664,2000-05-01,"H.No. 85, Kulkarni Road, Alappuzha 761826",Bangalore,90.1,98.9,Yes,Wipro,2331386,Got job in campus placement
1023,Nirvi Sastry,Computer Science Engineering (CSE),2018,2022,nirvisastry78@gmail.com,+910456546100,1997-09-17,"14/13, Kapadia Circle, Loni-151427",Bharatpur,75.2,86.1,No,,,No special remarks
1024,Vanya Guha,Computer Science Engineering (CSE),2016,2020,vanyaguha11@gmail.com,+919731087840,1999-08-15,"H.No. 63, Soman Road, Anand 690154",Gandhinagar,78.2,97.8,No,,,No special remarks
1025,Yuvraj  Sheth,Computer Science Engineering (CSE),2016,2020,yuvrajsheth16@gmail.com,+911950246213,1999-03-30,"18/30, Chatterjee Circle, Tiruvottiyur-644650",Haldia,92.0,90.2,No,,,No special remarks
1026,Dhanush Mane,Computer Science Engineering (CSE),2018,2022,dhanushmane8@gmail.com,+910504698655,1999-09-02,"907, Ratti Ganj, Pune-353333",Dharmavaram,79.9,97.6,Yes,TCS,2317630,Got job in campus placement
1027,Riya Sood,Computer Science Engineering (CSE),2016,2020,riyasood83@gmail.com,5265499955,1998-10-08,"327, Bhatti Circle, Ujjain 864576",Haridwar,82.1,94.3,Yes,Zoho Corporation,2233122,Got job in campus placement
1028,Ritvik Guha,Computer Science Engineering (CSE),2018,2022,ritvikguha19@gmail.com,+915634910269,2003-06-22,"88, Tata Zila, Bilaspur 988504",Bihar Sharif,83.3,81.1,Yes,Infosys,2395448,Got job in campus placement
1029,Eshani Chandra,Computer Science Engineering (CSE),2019,2023,eshanichandra96@gmail.com,7372574779,1998-04-24,"H.No. 69, Magar Nagar, Ghaziabad-316812",Kakinada,84.3,81.1,Yes,Infosys,2219368,Got job in campus placement
1030,Taimur Barad,Computer Science Engineering (CSE),2019,2023,taimurbarad86@gmail.com,09689289000,2001-02-11,"H.No. 687, Boase Nagar, Udupi-703958",Begusarai,75.7,97.1,Yes,Zoho Corporation,2310242,Got job in campus placement
1031,Tanya Brar,Computer Science Engineering (CSE),2016,2020,tanyabrar22@gmail.com,01237257625,2000-09-15,"19, Singhal Ganj, Ambala 930302",Dindigul,94.3,99.7,No,,,No special remarks
1032,Pihu Kamdar,Computer Science Engineering (CSE),2017,2021,pihukamdar94@gmail.com,01778404035,2002-03-29,"37/55, Varkey Marg, Kirari Suleman Nagar-980420",Gaya,82.7,89.5,Yes,Infosys,2214684,Got job in campus placement
1033,Damini Chokshi,Computer Science Engineering (CSE),2019,2023,daminichokshi1@gmail.com,+919114030466,2003-04-08,"443, Sura Zila, Rajahmundry 613851",Shimoga,81.9,90.0,Yes,Infosys,2401897,Got job in campus placement
1034,Nirvi Tata,Computer Science Engineering (CSE),2017,2021,nirvitata57@gmail.com,6672689314,2003-03-23,"17, Doctor Circle, Hajipur 194360",Chennai,84.6,94.3,No,,,No special remarks
1035,Divit Gopal,Computer Science Engineering (CSE),2018,2022,divitgopal14@gmail.com,0903353951,1998-08-05,"H.No. 20, Basu Circle, Guna-720765",Bathinda,83.6,82.0,No,,,No special remarks
1036,Samiha Bhatnagar,Computer Science Engineering (CSE),2019,2023,samihabhatnagar5@gmail.com,2286296145,1998-01-13,"115, Kapoor Circle, Sikar 636367",Bidhannagar,91.0,83.8,No,,,No special remarks
1037,Prerak Tara,Computer Science Engineering (CSE),2017,2021,preraktara5@gmail.com,3016468172,2002-09-30,"H.No. 381, Bhavsar Ganj, Raebareli 004708",Srikakulam,84.3,80.6,No,,,No special remarks
1038,Saanvi Chowdhury,Computer Science Engineering (CSE),2017,2021,saanvichowdhury99@gmail.com,+918563913908,1999-04-13,"H.No. 88, Madan Nagar, Jhansi-237233",Jaunpur,80.6,82.5,Yes,Infosys,2302297,Got job in campus placement
1039,Lavanya Salvi,Computer Science Engineering (CSE),2017,2021,lavanyasalvi18@gmail.com,00679698896,2003-09-06,"05, Bala Street, Nagercoil 798487",Ballia,86.6,99.0,Yes,Infosys,2289681,Got job in campus placement
1040,Arnav Hayre,Computer Science Engineering (CSE),2019,2023,arnavhayre78@gmail.com,09550279714,1999-04-20,"81/844, Madan, Nadiad 157488",Raipur,80.8,93.9,Yes,Infosys,2332919,Got job in campus placement
1041,Heer Sandhu,Computer Science Engineering (CSE),2018,2022,heersandhu43@gmail.com,9823603141,2001-03-26,"34, Barad Road, Jamalpur-145554",Kottayam,94.2,97.9,Yes,Infosys,2400930,Got job in campus placement
1042,Shaan Kumer,Computer Science Engineering (CSE),2017,2021,shaankumer54@gmail.com,00549616024,2002-07-18,"20/08, Contractor Ganj, Chandigarh 501474",Mira-Bhayandar,87.4,88.3,Yes,Zoho Corporation,2361385,Got job in campus placement
1043,Navya Sura,Computer Science Engineering (CSE),2017,2021,navyasura9@gmail.com,5153657372,1997-12-18,"H.No. 10, Acharya Chowk, Patna-791779",Aurangabad,89.5,89.8,No,,,No special remarks
1044,Jivika Bhatia,Computer Science Engineering (CSE),2017,2021,jivikabhatia51@gmail.com,01305586266,1998-01-30,"86/017, Thaker Path, Alwar 440162",Raebareli,92.9,88.9,Yes,Infosys,2221473,Got job in campus placement
1045,Jhanvi Borde,Computer Science Engineering (CSE),2016,2020,jhanviborde62@gmail.com,1917205587,2001-04-12,"H.No. 97, Suresh Circle, Bharatpur-274242",Faridabad,80.6,84.7,No,,,No special remarks
1046,Khushi Kaur,Computer Science Engineering (CSE),2016,2020,khushikaur36@gmail.com,0540440114,2000-07-21,"65/73, Gour Street, Gangtok-390898",Siwan,89.1,91.2,Yes,Infosys,2350654,Got job in campus placement
1047,Anika Sundaram,Computer Science Engineering (CSE),2019,2023,anikasundaram28@gmail.com,0273166455,2001-04-30,"H.No. 416, Savant Road, Nagaon-847722",Davanagere,90.9,88.3,Yes,Infosys,2248070,Got job in campus placement
1048,Keya Bhavsar,Computer Science Engineering (CSE),2018,2022,keyabhavsar95@gmail.com,+915560222566,1998-01-06,"69/18, Babu Zila, Bhagalpur 593256",Ahmedabad,84.5,99.8,Yes,Wipro,2406829,Got job in campus placement
1049,Samarth Chahal,Computer Science Engineering (CSE),2018,2022,samarthchahal46@gmail.com,+914261804309,1997-10-30,"H.No. 51, Bhattacharyya Chowk, Bhalswa Jahangir Pur-741054",Arrah,79.4,85.5,Yes,Wipro,2360545,Got job in campus placement
1050,Anay Aurora,Computer Science Engineering (CSE),2018,2022,anayaurora11@gmail.com,06288568570,2002-07-04,"H.No. 414, Arya Street, Munger-182725",Nellore,89.2,92.1,No,,,No special remarks
1051,Vihaan Bhagat,Computer Science Engineering (CSE),2019,2023,vihaanbhagat95@gmail.com,0622468453,2002-05-02,"H.No. 994, Varty Chowk, Panchkula-150395",Adoni,84.4,99.7,No,,,No special remarks
1052,Shamik Gera,Computer Science Engineering (CSE),2017,2021,shamikgera34@gmail.com,1271928310,2000-10-01,"67/374, Deo Zila, Tezpur-872108",Udupi,93.3,92.4,No,,,No special remarks
1053,Anahita Kala,Computer Science Engineering (CSE),2016,2020,anahitakala95@gmail.com,01898696750,1998-02-06,"683, Dani Zila, Hindupur-347789",Kalyan-Dombivli,86.7,95.2,Yes,TCS,2371799,Got job in campus placement
1054,Hiran Varma,Computer Science Engineering (CSE),2016,2020,hiranvarma46@gmail.com,0796098695,2002-05-31,"39/02, Roy Circle, Bhusawal 916253",Tirupati,87.9,91.5,No,,,No special remarks
1055,Manikya Batta,Computer Science Engineering (CSE),2017,2021,manikyabatta12@gmail.com,3106031394,2001-02-02,"79/14, Sarkar Ganj, Haridwar-651834",Asansol,86.0,80.6,Yes,Wipro,2251658,Got job in campus placement
1056,Mishti Biswas,Computer Science Engineering (CSE),2016,2020,mishtibiswas65@gmail.com,+917068006097,2002-12-22,"H.No. 255, Bhandari Road, Sangli-Miraj & Kupwad 527108",Indore,77.6,99.5,No,,,No special remarks
1057,Ivana Bhatti,Computer Science Engineering (CSE),2019,2023,ivanabhatti62@gmail.com,2316058154,2001-03-18,"939, Ravi Street, Asansol 476310",Malda,86.3,94.9,No,,,No special remarks
1058,Kanav Kant,Computer Science Engineering (CSE),2019,2023,kanavkant3@gmail.com,3854569283,2001-04-07,"H.No. 30, Saxena Path, Karnal 167281",Bangalore,81.2,93.7,Yes,Wipro,2360561,Got job in campus placement
1059,Madhup Shenoy,Computer Science Engineering (CSE),2016,2020,madhupshenoy81@gmail.com,6398263927,2003-07-02,"H.No. 17, Divan Circle, Ramagundam 532265",Imphal,80.6,83.0,Yes,Zoho Corporation,2305148,Got job in campus placement
1060,Gokul Hayre,Computer Science Engineering (CSE),2019,2023,gokulhayre73@gmail.com,+916551353398,2001-12-08,"H.No. 950, Kapur Ganj, Bathinda-675461",Ambattur,90.2,93.1,No,,,No special remarks
1061,Kavya Ramachandran,Computer Science Engineering (CSE),2017,2021,kavyaramachandran39@gmail.com,01230139053,2003-03-18,"961, Rastogi Zila, Naihati-051235",Ahmedabad,87.3,83.6,Yes,Wipro,2236841,Got job in campus placement
1062,Madhup Johal,Computer Science Engineering (CSE),2019,2023,madhupjohal44@gmail.com,8760642879,2000-10-28,"H.No. 72, Mani Street, Bhatpara-423521",Nashik,80.2,81.1,No,,,No special remarks
1063,Raghav Ramachandran,Computer Science Engineering (CSE),2019,2023,raghavramachandran49@gmail.com,6725535239,1997-11-10,"20/737, Chaudhari Road, Bijapur 114867",Hyderabad,78.4,95.4,No,,,No special remarks
1064,Kanav Tara,Computer Science Engineering (CSE),2019,2023,kanavtara6@gmail.com,+916564259903,2001-01-22,"28/502, Talwar, Maheshtala-526762",Haldia,80.3,83.6,No,,,No special remarks
1065,Keya Sankaran,Computer Science Engineering (CSE),2017,2021,keyasankaran39@gmail.com,01275898464,2003-08-27,"156, Sodhi Circle, Fatehpur-950255",Jammu,91.9,99.8,Yes,Zoho Corporation,2260629,Got job in campus placement
1066,Rati Bera,Computer Science Engineering (CSE),2016,2020,ratibera94@gmail.com,+917380920994,2000-07-16,"H.No. 879, Kakar Street, Pondicherry 692640",Amravati,78.5,90.3,No,,,No special remarks
1067,Zoya Chatterjee,Computer Science Engineering (CSE),2018,2022,zoyachatterjee36@gmail.com,+913444913116,2001-04-09,"93, Buch Ganj, Rajahmundry-070108",Miryalaguda,94.9,89.7,Yes,Infosys,2337211,Got job in campus placement
1068,Damini Kulkarni,Computer Science Engineering (CSE),2019,2023,daminikulkarni15@gmail.com,+911451632223,1999-10-02,"64, Ramachandran, Thiruvananthapuram-206045",Munger,91.8,87.5,Yes,Zoho Corporation,2388205,Got job in campus placement
1069,Trisha Devi,Computer Science Engineering (CSE),2016,2020,trishadevi47@gmail.com,07950831625,2001-12-17,"H.No. 613, Dugar Ganj, Gandhinagar 667569",Tadipatri,90.4,87.5,No,,,No special remarks
1070,Urvi Kara,Computer Science Engineering (CSE),2018,2022,urvikara86@gmail.com,03786030165,2001-04-16,"97/55, Sachdeva Street, Raurkela Industrial Township 462909",Thrissur,81.1,83.5,Yes,TCS,2324630,Got job in campus placement
1071,Samar Lad,Computer Science Engineering (CSE),2018,2022,samarlad76@gmail.com,+910776868088,2002-12-17,"311, Hayre Chowk, Davanagere 340698",Salem,90.6,95.4,No,,,No special remarks
1072,Alisha Sankaran,Computer Science Engineering (CSE),2017,2021,alishasankaran96@gmail.com,+913712536818,2001-05-30,"54, Lala Zila, Sagar 087551",Mango,80.7,95.1,No,,,No special remarks
1073,Hansh Dayal,Computer Science Engineering (CSE),2017,2021,hanshdayal78@gmail.com,05632437856,1999-09-03,"38, Hari Marg, Mumbai 219575",Kamarhati,95.0,91.3,Yes,Infosys,2330431,Got job in campus placement
1074,Shlok Bhagat,Computer Science Engineering (CSE),2018,2022,shlokbhagat98@gmail.com,03835925197,2002-06-02,"43/27, Garde Ganj, Serampore 247113",Uluberia,84.8,83.3,No,,,No special remarks
1075,Nakul Golla,Computer Science Engineering (CSE),2018,2022,nakulgolla100@gmail.com,+911778699846,2001-12-09,"H.No. 288, Thaker Chowk, Sri Ganganagar-342202",Solapur,84.9,99.7,No,,,No special remarks
1076,Samar Sood,Computer Science Engineering (CSE),2016,2020,samarsood72@gmail.com,2946867759,1998-04-30,"H.No. 92, Tara Circle, Tiruvottiyur-090886",Solapur,86.4,92.7,Yes,Infosys,2317476,Got job in campus placement
1077,Zeeshan Choudhary,Computer Science Engineering (CSE),2018,2022,zeeshanchoudhary20@gmail.com,+918134785226,2000-11-27,"068, Ray Ganj, Machilipatnam-489393",Nandyal,84.1,89.6,No,,,No special remarks
1078,Alisha Buch,Computer Science Engineering (CSE),2018,2022,alishabuch97@gmail.com,+918832839733,2001-06-16,"94/202, Chana Street, Raurkela Industrial Township 464257",Danapur,81.0,91.8,No,,,No special remarks
1079,Charvi Lalla,Computer Science Engineering (CSE),2016,2020,charvilalla28@gmail.com,0558142362,1998-02-24,"78, Kata Path, Chittoor 543189",Avadi,82.8,96.5,No,,,No special remarks
1080,Aniruddh Bhatti,Computer Science Engineering (CSE),2016,2020,aniruddhbhatti88@gmail.com,+918808092862,2002-10-16,"28/83, Bose, Bharatpur-097459",Indore,90.8,87.2,Yes,Infosys,2355457,Got job in campus placement
1081,Vanya Kant,Computer Science Engineering (CSE),2017,2021,vanyakant2@gmail.com,+913603014450,1997-12-07,"33/909, Rana Marg, Shivpuri 050451",Giridih,86.0,92.2,Yes,Wipro,2360546,Got job in campus placement
1082,Jayesh Anne,Computer Science Engineering (CSE),2016,2020,jayeshanne90@gmail.com,+918561213128,2003-06-30,"99/153, Tank Zila, Hapur-411122",Buxar,94.9,85.6,Yes,TCS,2236129,Got job in campus placement
1083,Ryan Sachar,Computer Science Engineering (CSE),2016,2020,ryansachar50@gmail.com,0161825902,1997-11-09,"H.No. 046, Deol Ganj, Sultan Pur Majra 022556",Junagadh,82.0,98.0,Yes,Zoho Corporation,2293676,Got job in campus placement
1084,Madhav Zachariah,Computer Science Engineering (CSE),2018,2022,madhavzachariah94@gmail.com,06856882973,1998-12-25,"19, Bansal Zila, Asansol-902029",Vijayawada,77.2,94.3,No,,,No special remarks
1085,Mohanlal Deo,Computer Science Engineering (CSE),2019,2023,mohanlaldeo27@gmail.com,+914773828959,2003-02-12,"02, Seshadri Chowk, Malda 283137",Chinsurah,76.4,81.2,Yes,TCS,2268726,Got job in campus placement
1086,Diya Badal,Computer Science Engineering (CSE),2018,2022,diyabadal59@gmail.com,03862387595,2000-09-09,"H.No. 35, Chandra Nagar, Ramagundam-441366",Khammam,94.7,92.4,No,,,No special remarks
1087,Nakul Varkey,Computer Science Engineering (CSE),2019,2023,nakulvarkey56@gmail.com,05738605963,2001-11-06,"542, Doshi, Raiganj-973787",Karawal Nagar,76.7,94.6,No,,,No special remarks
1088,Aniruddh Gopal,Computer Science Engineering (CSE),2016,2020,aniruddhgopal2@gmail.com,+915374277118,2002-11-11,"62/507, Goswami Zila, Delhi-945865",Sagar,81.6,90.3,No,,,No special remarks
1089,Kashvi Ramachandran,Computer Science Engineering (CSE),2019,2023,kashviramachandran72@gmail.com,+919473308281,2003-02-12,"29, Ravel Path, Noida-134363",Dhanbad,81.7,86.4,No,,,No special remarks
1090,Elakshi Ghosh,Computer Science Engineering (CSE),2018,2022,elakshighosh51@gmail.com,5210778403,1998-08-19,"162, Wali Path, Amritsar-855725",Davanagere,85.7,93.0,Yes,Infosys,2256939,Got job in campus placement
1091,Prisha Sarkar,Computer Science Engineering (CSE),2017,2021,prishasarkar9@gmail.com,7279743344,2003-04-19,"92/73, Bumb Ganj, Ahmednagar-964026",Berhampur,75.9,99.5,No,,,No special remarks
1092,Tushar Acharya,Computer Science Engineering (CSE),2018,2022,tusharacharya40@gmail.com,3594080578,1998-03-31,"H.No. 18, Karan Path, Machilipatnam 405645",Gurgaon,90.0,97.4,Yes,Infosys,2228497,Got job in campus placement
1093,Rania Jha,Computer Science Engineering (CSE),2016,2020,raniajha37@gmail.com,+917529550271,2002-07-17,"21, Sule Street, Avadi 938581",Motihari,79.5,83.6,No,,,No special remarks
1094,Shayak Kuruvilla,Computer Science Engineering (CSE),2019,2023,shayakkuruvilla81@gmail.com,3458059812,1999-10-23,"65/15, Bhakta Marg, Chittoor 216649",Pondicherry,92.4,97.9,Yes,TCS,2361127,Got job in campus placement
1095,Indranil Ravel,Computer Science Engineering (CSE),2016,2020,indranilravel33@gmail.com,09344452664,2002-06-06,"95, Khalsa Path, Pudukkottai-284484",Kumbakonam,83.8,85.5,No,,,No special remarks
1096,Romil Ahluwalia,Computer Science Engineering (CSE),2018,2022,romilahluwalia32@gmail.com,6181367161,1999-06-29,"H.No. 798, D’Alia Path, Baranagar 501459",Akola,75.6,97.6,Yes,Wipro,2371375,Got job in campus placement
1097,Misha Bera,Computer Science Engineering (CSE),2019,2023,mishabera93@gmail.com,07272529508,1998-10-21,"H.No. 520, Sura, Bijapur-963749",Bahraich,94.9,88.6,Yes,Wipro,2269518,Got job in campus placement
1098,Kiara Kapur,Computer Science Engineering (CSE),2019,2023,kiarakapur59@gmail.com,+911840855358,1998-08-22,"02, Chad Circle, Pimpri-Chinchwad 403040",Chennai,75.5,98.2,No,,,No special remarks
1099,Anika Mann,Computer Science Engineering (CSE),2017,2021,anikamann53@gmail.com,4156217874,2002-08-21,"950, Tella Ganj, Berhampore-242550",Pallavaram,91.6,91.8,Yes,Infosys,2269213,Got job in campus placement
1100,Uthkarsh Sarin,Computer Science Engineering (CSE),2018,2022,uthkarshsarin9@gmail.com,08824641312,2000-12-17,"51/522, Bal Chowk, Udupi-890145",Hyderabad,89.3,89.0,Yes,Wipro,2349812,Got job in campus placement
1101,Oorja Hari,Computer Science Engineering (CSE),2018,2022,oorjahari49@gmail.com,8337873184,2001-08-30,"37/552, Manda Zila, Jabalpur 244146",Bhilai,80.8,85.4,No,,,No special remarks
1102,Akarsh Borra,Computer Science Engineering (CSE),2017,2021,akarshborra27@gmail.com,2890708630,2002-09-02,"13/530, Krishnamurthy Ganj, Aurangabad 436718",Karimnagar,89.4,89.0,No,,,No special remarks
1103,Saanvi Brahmbhatt,Computer Science Engineering (CSE),2019,2023,saanvibrahmbhatt36@gmail.com,8570137433,2002-04-18,"07/456, Bora Road, Kollam 962476",Navi Mumbai,90.1,87.8,No,,,No special remarks
1104,Aniruddh Choudhry,Computer Science Engineering (CSE),2017,2021,aniruddhchoudhry99@gmail.com,0885876715,2002-11-27,"133, Rajagopal Path, Nangloi Jat 891658",Hosur,80.9,87.5,Yes,Infosys,2406871,Got job in campus placement
1105,Zara Dalal,Computer Science Engineering (CSE),2017,2021,zaradalal95@gmail.com,5978875580,1999-04-10,"14/885, Khanna Road, Bhavnagar-645886",Bhagalpur,76.9,96.8,Yes,Infosys,2372654,Got job in campus placement
1106,Ryan Krishna,Computer Science Engineering (CSE),2016,2020,ryankrishna37@gmail.com,+919267324424,2000-03-21,"30/264, Keer, Mehsana 710222",Dehri,94.2,80.1,Yes,Zoho Corporation,2289728,Got job in campus placement
1107,Sahil Borde,Computer Science Engineering (CSE),2016,2020,sahilborde76@gmail.com,1309902749,1998-05-16,"12, Master Marg, Asansol-254137",Jalna,84.2,98.4,No,,,No special remarks
1108,Lakshay Mannan,Computer Science Engineering (CSE),2016,2020,lakshaymannan51@gmail.com,+912698394086,1998-09-14,"926, Ghosh Zila, Satna-797236",Agartala,91.2,93.4,No,,,No special remarks
1109,Veer Sarma,Computer Science Engineering (CSE),2018,2022,veersarma33@gmail.com,09658447705,2003-05-20,"06, Kamdar Marg, Raichur-449110",Jalgaon,75.6,80.3,Yes,TCS,2298168,Got job in campus placement
1110,Manikya Mani,Computer Science Engineering (CSE),2018,2022,manikyamani76@gmail.com,+915497980865,2002-03-19,"05/172, Kannan, Hazaribagh 731244",Ghaziabad,93.4,86.7,Yes,Wipro,2266070,Got job in campus placement
1111,Kashvi Doctor,Computer Science Engineering (CSE),2019,2023,kashvidoctor33@gmail.com,5238185518,1999-07-26,"H.No. 02, Kibe Nagar, Pallavaram 995355",Patna,89.3,82.6,No,,,No special remarks
1112,Manjari Shankar,Computer Science Engineering (CSE),2019,2023,manjarishankar90@gmail.com,02385822238,2001-09-14,"74/99, Sathe Ganj, Tiruppur-004981",Ambala,87.1,97.2,Yes,Infosys,2264283,Got job in campus placement
1113,Arnav Chaudhary,Computer Science Engineering (CSE),2018,2022,arnavchaudhary65@gmail.com,06001294810,1998-01-11,"H.No. 126, Goswami Nagar, Amroha 448921",Medininagar,86.9,95.0,Yes,Zoho Corporation,2226759,Got job in campus placement
1114,Bhavin Sarma,Computer Science Engineering (CSE),2018,2022,bhavinsarma20@gmail.com,+912821538579,2003-01-01,"80, Sarna Circle, Karimnagar-460079",Deoghar,90.4,86.8,Yes,Zoho Corporation,2250078,Got job in campus placement
1115,Vritika Brar,Computer Science Engineering (CSE),2018,2022,vritikabrar50@gmail.com,01160455906,1998-07-27,"00, Balasubramanian Road, Surendranagar Dudhrej-211083",Thrissur,78.4,83.9,Yes,Infosys,2348632,Got job in campus placement
1116,Zoya Jani,Computer Science Engineering (CSE),2018,2022,zoyajani68@gmail.com,+917885292614,1998-07-20,"20/01, Bhatia, Sirsa 217037",Bhind,75.8,82.6,No,,,No special remarks
1117,Krish Som,Computer Science Engineering (CSE),2019,2023,krishsom35@gmail.com,+911565754161,2001-10-28,"359, Bakshi Circle, Ludhiana 320084",Tirunelveli,79.2,80.3,No,,,No special remarks
1118,Rasha Bava,Computer Science Engineering (CSE),2017,2021,rashabava47@gmail.com,+910490139626,2003-07-04,"97, Ravel Ganj, Surendranagar Dudhrej 750372",Sambhal,90.6,99.3,Yes,Infosys,2236511,Got job in campus placement
1119,Indrajit Sampath,Computer Science Engineering (CSE),2016,2020,indrajitsampath17@gmail.com,01798507769,1998-09-09,"912, Tripathi Chowk, Amritsar 975773",Shimoga,92.6,81.6,Yes,TCS,2228223,Got job in campus placement
1120,Navya Biswas,Computer Science Engineering (CSE),2017,2021,navyabiswas55@gmail.com,8769121668,2002-12-23,"02/23, Kar Marg, Ulhasnagar-689183",Pudukkottai,94.1,88.4,Yes,Wipro,2268346,Got job in campus placement
1121,Raghav Dugal,Computer Science Engineering (CSE),2017,2021,raghavdugal26@gmail.com,2503461096,1999-11-14,"H.No. 00, Deep Path, Kolkata 272715",Tadipatri,90.6,97.6,No,,,No special remarks
1122,Prisha Taneja,Computer Science Engineering (CSE),2018,2022,prishataneja3@gmail.com,+916218537731,2000-07-24,"H.No. 11, Ahluwalia Road, Bhatpara 712068",Bhilai,76.1,99.9,No,,,No special remarks
1123,Lakshay Dara,Computer Science Engineering (CSE),2018,2022,lakshaydara6@gmail.com,+910478252386,2003-08-13,"14, Bakshi Circle, Pimpri-Chinchwad-972033",Amaravati,75.3,84.4,Yes,Wipro,2261407,Got job in campus placement
